Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA
1,0,2,7.354170163,2,0,1,0,0,1,0,2.649136828
0,2,1,2.012399544,18,0,3,0,1,0,0,1.234141389
0,1,1,6.1926362,7,0,2,1,0,0,0,2.127408866
0,0,2,13.27468721,3,1,1,1,0,0,0,2.913887649
0,0,4,13.31568803,3,0,3,0,0,0,1,3.119393913
1,3,2,5.724486145,18,1,0,0,0,0,0,1.036378738
0,1,3,9.202052531,10,0,4,1,0,0,1,2.403284547
0,0,2,3.86894456,0,1,3,0,0,0,0,3.156508064
1,0,2,4.207441631,7,1,2,0,1,1,0,2.723471859
1,0,1,0.460941768,14,0,1,1,1,0,0,1.530951146
0,0,2,17.934931,0,0,1,0,0,0,0,3.468581349
1,0,2,4.214133301,6,0,1,1,0,0,0,2.302032044
0,0,2,4.550677539,20,1,1,1,0,0,0,1.265677909
0,2,2,5.592028653,19,0,2,1,1,0,1,1.479602228
0,0,2,2.548161434,19,0,4,0,0,1,1,1.445076719
0,2,1,12.78525766,23,0,2,0,0,0,0,0.80943381
1,2,2,1.502859064,10,1,3,0,0,0,0,2.15023327
0,0,1,2.684048527,26,0,3,0,0,0,0,0.559143716
1,1,3,12.89513453,28,0,3,0,0,0,0,0.580788485
1,0,1,6.79321241,13,0,0,0,1,1,1,1.602089196
1,2,0,14.15895653,21,1,2,0,1,0,0,1.002798364
1,0,2,11.14849489,15,0,3,0,0,0,0,1.663063453
0,1,2,5.120423461,13,0,3,0,0,0,1,1.53154646
1,1,2,13.01655901,11,0,4,0,0,0,0,2.205842147
0,0,1,2.325473606,16,0,3,0,0,0,1,1.155338561
1,0,2,10.72820766,13,1,1,0,0,0,0,2.15375834
1,1,1,8.742962101,9,0,2,1,0,0,1,2.592786686
0,2,3,5.357471656,23,0,0,1,1,0,0,0.912330507
0,0,3,12.08009995,28,1,3,0,0,0,0,0.695630933
0,1,2,17.42667185,13,1,2,0,0,0,0,2.139619891
1,0,1,19.978094,17,0,3,0,0,0,0,1.550449331
1,2,2,12.15525537,21,0,4,0,0,0,1,1.5475367
0,0,0,8.094117487,8,1,3,0,0,1,0,2.966548034
0,2,2,4.504142004,16,0,2,1,0,0,1,1.633679371
0,0,1,5.141921788,5,1,1,0,0,0,0,2.33254032
0,0,3,9.589099563,7,1,3,1,1,1,0,3.270262309
1,0,0,7.345554026,25,0,1,0,0,0,0,0.346470593
0,0,2,18.27629045,12,1,1,0,0,0,0,1.894904336
0,1,2,7.365909353,17,0,1,0,0,0,0,1.456742601
0,0,2,7.468891823,4,0,2,1,0,0,0,2.553723151
0,2,0,7.670690249,5,0,1,0,0,0,0,2.224197461
1,0,4,16.73240421,20,1,4,0,1,1,0,1.847600418
0,0,2,13.01576642,18,0,4,1,0,0,0,1.849760707
1,0,2,12.28337701,3,0,4,0,0,1,0,3.268794216
0,0,1,6.682860448,6,1,0,0,0,0,1,2.546516637
0,0,2,16.35808354,3,0,4,0,0,0,0,3.101229221
1,0,2,0.767277227,24,0,4,0,0,1,0,0.655954078
0,0,0,17.41594345,10,1,4,0,1,0,0,3.088512306
1,0,1,10.254998,11,1,3,0,0,0,0,1.992559805
1,1,3,7.965004697,13,1,3,0,1,0,0,2.605247446
0,1,1,9.943345614,12,1,1,0,0,0,0,1.733972454
1,0,1,13.34831061,28,0,3,1,0,0,0,1.113848788
1,0,2,0.25530853,9,0,0,1,0,0,0,1.649250252
1,3,2,17.43103713,17,0,2,0,0,0,0,1.33755498
1,1,0,8.934790506,15,0,4,0,0,0,0,1.984659919
1,1,2,6.859330394,4,0,2,0,1,1,0,3.060881656
1,0,1,2.764911313,7,1,1,0,0,0,0,2.392897358
1,2,0,8.789307487,13,0,4,0,0,0,0,2.08379699
1,2,0,9.926455426,4,0,4,0,1,0,1,3.645738049
0,1,3,8.07293389,25,0,1,1,0,0,0,0.322286082
0,3,1,13.57320188,27,0,3,0,1,0,0,1.129514334
1,0,0,8.417930575,23,0,2,1,0,0,0,0.630756944
0,0,2,19.22835156,7,0,2,0,0,1,1,3.157229639
1,2,3,11.98555036,24,0,1,0,0,0,0,0.680087787
1,2,1,16.14955871,25,0,0,0,0,0,0,0.796359848
0,0,2,2.187118062,5,1,1,0,1,0,0,2.844039215
1,0,0,7.945825859,15,1,0,0,1,0,0,1.253451854
1,0,2,6.736954029,27,0,4,0,0,0,0,0.534508881
1,0,2,11.38964776,3,1,3,1,0,0,0,3.191046118
1,2,2,17.2222704,11,0,3,0,0,1,0,2.815421275
0,1,1,1.566764355,10,0,3,0,0,0,0,2.157122303
1,0,1,1.451495961,2,0,1,1,0,0,0,2.72382806
1,0,1,17.00635416,11,0,4,1,0,0,0,2.627693906
1,0,1,4.257001721,29,1,3,1,1,0,0,0.912415621
0,0,0,13.37506509,4,0,2,0,0,0,0,2.609623082
1,1,2,10.85756265,5,1,1,0,1,0,0,2.981992255
0,3,4,16.6578719,18,0,3,0,0,0,0,1.625082774
0,2,4,2.501778197,17,0,3,0,1,0,0,1.361698418
1,0,3,2.595659314,15,1,3,0,0,0,0,1.916961896
1,2,2,11.13636721,22,0,0,0,0,0,0,1.011253195
0,2,2,18.92757307,10,0,1,1,1,0,0,2.332159041
1,2,1,8.299955167,4,0,2,1,1,1,0,3.387938348
0,0,2,6.538842005,8,0,3,0,1,0,0,2.384690791
0,0,2,12.13378646,2,0,0,0,0,0,0,2.780816996
1,0,2,18.60897201,29,0,2,0,1,0,1,0.534835754
1,0,2,16.73855666,7,0,2,0,0,0,0,2.542214349
0,0,1,19.90967221,5,0,3,0,0,0,0,3.007129067
0,0,1,0.451371664,3,0,2,1,0,0,0,2.985809814
0,0,3,2.257162894,11,0,2,0,1,0,0,1.949306057
0,2,0,12.18935527,11,0,3,0,0,0,0,2.147845196
1,0,2,16.41152879,24,0,4,0,0,0,1,1.175768025
1,0,3,5.704886846,20,0,1,1,0,0,0,1.400363254
1,3,2,4.784221761,15,0,1,1,0,1,0,1.755544023
1,3,2,15.73951599,9,0,4,1,0,1,0,2.900096239
1,2,1,1.127637077,21,0,2,0,0,0,0,1.033459491
0,3,1,7.387652952,13,0,3,0,0,0,1,1.907742363
1,1,3,10.11618445,12,0,3,0,0,0,0,1.88090929
1,3,2,11.20697349,8,0,1,0,1,1,0,2.614950354
1,0,2,14.57230314,6,0,3,1,0,1,0,3.107135594
1,0,0,7.096914469,11,0,3,0,0,0,0,1.386464562
1,0,0,12.25368689,4,0,2,0,0,0,0,2.833760072
0,0,4,11.70750846,17,0,0,0,0,1,0,1.086151397
0,0,1,10.95232201,3,0,4,0,0,0,0,2.87403736
0,1,2,12.80966586,1,0,2,0,1,0,0,2.895671305
1,2,0,5.188983421,2,1,3,0,0,0,0,3.181307602
0,1,2,1.692975072,25,0,3,0,0,0,0,0.471283109
0,0,3,2.385433441,11,1,2,0,0,0,0,2.211379528
1,2,2,4.491647653,2,1,3,1,1,0,0,3.375252255
1,1,1,10.00395871,3,0,4,0,1,0,0,3.203858191
1,0,2,16.80885501,5,0,2,0,0,1,0,3.350179111
0,1,2,14.02586684,11,0,2,0,0,0,0,1.72579153
0,0,2,15.78081208,18,0,4,1,0,0,0,2.216603815
1,0,3,7.019512479,9,0,1,1,0,0,1,2.004627317
1,3,2,8.093074833,29,1,0,0,0,0,0,0.715742046
0,0,3,7.87363772,0,1,4,0,0,1,0,3.880640085
0,0,2,3.837463688,16,0,3,1,0,1,0,1.689528158
1,2,1,1.224333163,15,0,4,1,1,0,1,1.757978804
1,2,1,11.81832186,8,0,0,0,0,0,0,2.136399546
0,0,1,19.78433367,24,1,1,0,1,0,0,0.911568271
1,0,3,3.336594099,20,1,1,0,0,0,0,1.13780111
0,0,2,0.933696398,8,1,3,1,0,0,1,2.349264927
0,1,2,15.59063364,26,0,3,0,0,0,0,0.623747437
0,0,1,5.051720134,22,0,2,0,0,1,0,0.341029446
0,0,1,16.59287611,8,0,0,0,0,0,0,2.223813667
1,3,2,14.07873334,11,0,3,0,0,0,1,2.328240385
1,1,2,18.91347074,22,1,2,1,0,0,0,1.623077822
0,0,1,8.178544715,8,1,1,1,0,0,0,2.200896322
0,1,2,13.23939679,14,0,4,0,1,0,0,2.584110655
0,1,0,9.297095616,1,0,1,1,0,0,0,2.996503304
0,0,1,12.61177395,10,0,3,0,0,1,0,2.373993481
0,0,2,8.99197812,10,1,3,1,0,0,0,2.830404456
1,2,1,3.772644928,7,0,2,1,1,0,1,2.525115534
1,0,4,10.15794832,22,0,1,1,0,0,0,1.042981651
1,1,1,10.57168403,5,0,2,1,0,0,1,2.661096904
1,0,1,16.21207697,20,0,3,0,0,0,0,1.599593888
0,0,1,14.71041412,19,1,1,1,0,0,0,1.799409149
0,0,2,13.27583248,6,0,3,0,0,0,0,2.657638557
0,0,2,2.267741911,2,0,4,0,0,0,0,2.998484062
0,0,2,14.41232581,7,0,4,0,0,1,0,2.977408433
0,0,0,10.00610313,17,0,2,0,0,0,0,1.375164137
1,2,0,17.88199072,16,0,3,1,0,0,1,1.84886644
0,3,2,18.39741868,10,0,4,0,0,0,0,2.4424562
1,2,3,1.103131812,1,0,2,1,0,0,0,2.856038514
1,2,3,16.41283121,24,1,1,1,0,0,0,1.20615023
1,0,0,0.753947808,20,0,1,1,1,0,0,0.89590299
1,3,2,7.343392514,26,0,1,0,0,0,0,0.273190929
0,0,3,10.84599951,23,0,3,0,0,1,0,0.667508961
1,3,1,2.962015973,18,0,2,0,0,0,0,1.089440604
1,3,3,14.92627625,6,0,3,0,0,0,0,2.813211008
1,2,1,0.167094083,17,1,3,1,0,0,1,1.86875859
0,3,3,3.371980969,7,0,3,1,1,0,0,3.035693596
0,1,2,11.6159366,13,0,3,0,0,0,1,2.135356801
0,0,3,14.28775124,6,0,0,1,0,1,0,3.038116129
1,0,2,18.33286205,27,0,3,0,1,0,0,0.99412941
1,1,1,14.10993304,20,0,2,0,0,0,0,1.232557166
0,0,3,13.43558541,27,0,2,0,1,0,0,0.864403743
1,1,1,7.886822927,26,0,0,0,0,0,0,0.115231855
0,3,1,0.025688511,3,0,4,1,0,0,0,2.934586305
0,0,2,2.403185175,16,0,4,1,0,0,0,2.046938817
1,2,2,10.6910909,4,0,2,1,0,0,0,3.065473134
1,3,3,13.50259772,11,0,2,0,1,0,0,2.4370263
1,3,1,8.348965678,8,0,3,0,1,0,0,2.427614636
1,3,2,14.61358023,25,0,1,0,0,0,0,0.777150955
0,1,2,10.43724591,19,1,1,1,1,1,0,1.879575445
0,3,0,1.483523912,12,0,3,0,0,0,0,1.596574874
0,2,1,3.840325019,24,0,1,0,1,0,0,0.704595243
0,0,1,16.79996446,27,0,2,1,1,0,0,0.764186697
0,0,1,14.49825493,17,1,2,1,0,0,0,1.503416679
1,2,4,17.89523974,19,1,2,1,0,0,0,1.525837862
0,0,2,2.351144982,8,0,1,1,1,0,0,2.270841108
0,1,2,19.80445069,3,0,2,0,0,0,0,3.402352539
0,1,4,4.188134279,20,1,2,0,1,0,0,1.438204968
1,0,1,0.235597526,26,0,2,0,0,1,0,0.336571299
1,1,3,19.94845878,7,0,3,0,0,0,0,3.112281137
1,2,2,5.621477709,0,1,4,0,0,1,0,3.770694722
1,0,3,13.36038905,16,0,1,0,0,0,0,1.655613323
0,0,1,3.533646284,24,0,3,1,0,0,1,1.050469692
0,0,3,11.60457064,8,1,1,0,0,1,0,2.535391284
1,0,1,18.08069973,19,0,2,0,0,0,1,1.396090494
1,3,1,6.403623349,12,0,2,1,1,0,0,2.025416982
0,0,2,13.40507952,1,0,2,0,0,0,0,3.268302548
0,1,1,3.758071776,12,0,3,1,1,0,0,2.017218039
1,0,2,12.49590797,8,0,2,1,0,0,0,2.397682579
1,0,2,6.729007036,29,0,2,1,0,0,0,0.287867323
